Timepoint,protein_001,protein_002,protein_003,protein_004,protein_005,protein_006,protein_007,protein_008,protein_009,protein_010
4.30563,15.123172,14.914122,14.860382,14.870111,14.55071,14.665552,14.576353,14.442376,15.030348,14.939481
4.31283,15.129124,14.926113,14.878106,14.886081,14.568473,14.672431,14.588556,14.449235,15.040603,14.952293
4.32003,15.138871,14.942601,14.901659,14.907563,14.590343,14.68127,14.607013,14.458754,15.054132,14.970991
4.32723,15.152382,14.964231,14.931756,14.935057,14.615225,14.692921,14.629418,14.470129,15.071906,14.995243
4.33443,15.169361,14.991255,14.968551,14.96831,14.642115,14.709623,14.653215,14.483726,15.095115,15.023562
4.34163,15.188992,15.022897,15.011697,15.006611,14.670936,14.732853,14.678129,14.500568,15.123806,15.054752
4.34883,15.211891,15.058416,15.060192,15.049933,14.701278,14.762111,14.704928,14.522301,15.15701,15.089464
4.35603,15.239894,15.098338,15.113114,15.098562,14.73323,14.796945,14.733803,14.550123,15.194431,15.130821
4.36323,15.274348,15.143069,15.170889,15.15407,14.768477,14.837531,14.765318,14.584805,15.236774,15.181696
4.37043,15.315328,15.192177,15.236011,15.21914,14.808705,14.883827,14.801463,14.626506,15.28553,15.244462
4.37763,15.362343,15.246876,15.31209,15.296361,14.854669,14.936529,14.844297,14.676149,15.343497,15.320643
4.38483,15.415376,15.310679,15.403269,15.387222,14.908332,14.997512,14.894661,14.735066,15.4136,15.411729
4.39203,15.475963,15.387075,15.512562,15.493339,14.973016,15.069376,14.954216,14.804791,15.497807,15.519149
4.39923,15.546608,15.47801,15.641417,15.616897,15.051599,15.15385,15.026688,14.887182,15.597175,15.644443
4.40643,15.630279,15.584665,15.79102,15.760122,15.146271,15.25162,15.115648,14.983459,15.713242,15.790675
4.41363,15.729767,15.708363,15.962679,15.924977,15.258937,15.363188,15.222359,15.093845,15.847215,15.961689
4.42083,15.846385,15.850671,16.156858,16.112929,15.390736,15.490016,15.3476,15.217229,15.999371,16.159406
4.42803,15.979417,16.012245,16.37316,16.324588,15.541278,15.632963,15.492061,15.352866,16.169094,16.382381
4.43523,16.127557,16.192707,16.610364,16.559108,15.709079,15.79145,15.654497,15.500527,16.355409,16.628462
4.44243,16.289399,16.391463,16.86521,16.813353,15.892203,15.964634,15.831689,15.659942,16.556587,16.894681
4.44963,16.462462,16.606475,17.132666,17.082005,16.088519,16.151167,16.020385,15.829371,16.767715,17.175744
4.45683,16.643078,16.832808,17.406312,17.359058,16.294037,16.347036,16.217568,16.005273,16.98248,17.465402
4.46403,16.826814,17.063381,17.678975,17.638063,16.503192,16.546117,16.418823,16.182952,17.195551,17.756809
4.47123,17.00828,17.291312,17.942476,17.911142,16.709421,16.741922,16.617815,16.356521,17.401976,18.042663
4.47843,17.181417,17.510422,18.187808,18.169058,16.905805,16.928287,16.80788,16.519776,17.594792,18.313952
4.48563,17.339421,17.714919,18.405967,18.40232,17.084522,17.098713,16.982678,16.666114,17.766873,18.561162
4.49283,17.476298,17.898491,18.589525,18.60194,17.238787,17.246614,17.136061,16.790315,17.912923,18.774958
4.50003,17.587306,18.054452,18.73231,18.760025,17.362907,17.366774,17.262059,16.889195,18.027912,18.948335
4.50723,17.66905,18.176295,18.829793,18.870146,17.452707,17.456013,17.356206,16.960034,18.107247,19.075245
4.51443,17.718354,18.258545,18.88,18.928605,17.505686,17.511871,17.415834,17.000325,18.147523,19.151314
4.52163,17.734068,18.298161,18.882811,18.934504,17.520725,17.531746,17.439703,17.008301,18.148431,19.174672
4.52883,17.717062,18.294427,18.83876,18.888815,17.497957,17.515114,17.427393,16.984347,18.111575,19.146121
4.53603,17.668955,18.248578,18.749613,18.793438,17.438625,17.463711,17.380064,16.929439,18.039335,19.067832
4.54323,17.591219,18.163992,18.619247,18.652776,17.345335,17.380473,17.300404,16.845543,17.934083,18.944053
4.55043,17.486889,18.045524,18.45322,18.473316,17.222078,17.269072,17.192225,16.73531,17.799708,18.780255
4.55763,17.360311,17.897671,18.258405,18.262783,17.074788,17.134371,17.06024,16.604019,17.641489,18.582829
4.56483,17.216413,17.724425,18.041931,18.029197,16.909747,16.982031,16.909575,16.457874,17.464974,18.359016
4.57203,17.060475,17.531022,17.810926,17.781003,16.733225,16.817652,16.745086,16.301902,17.276081,18.116826
4.57923,16.898108,17.32419,17.571727,17.526462,16.551597,16.645328,16.572012,16.140217,17.080838,17.863675
4.58643,16.734335,17.110678,17.329433,17.272604,16.370031,16.468567,16.395466,15.977191,16.884897,17.606348
4.59363,16.573226,16.895989,17.088334,17.024401,16.191542,16.291057,16.21932,15.816745,16.692532,17.350889
4.60083,16.417044,16.684628,16.852876,16.785682,16.018467,16.116055,16.046486,15.661404,16.507271,17.10182
4.60803,16.267029,16.480908,16.626727,16.560154,15.853528,15.945997,15.880186,15.513195,16.331654,16.862261
4.61523,16.124708,16.288417,16.413118,16.350223,15.698722,15.783738,15.723037,15.374791,16.167994,16.635178
4.62243,15.991684,16.108992,16.215483,16.156681,15.555123,15.632176,15.576563,15.248745,16.017731,16.422976
4.62963,15.868618,15.94343,16.036166,15.980602,15.423513,15.492992,15.44188,15.13617,15.881452,16.227352
4.63683,15.756094,15.7926,15.875782,15.822696,15.304459,15.36657,15.319542,15.036353,15.758297,16.049243
4.64403,15.654185,15.657602,15.73454,15.682082,15.197647,15.252833,15.209677,14.949072,15.646819,15.889543
4.65123,15.562182,15.538531,15.612062,15.557131,15.102573,15.151821,15.111498,14.873649,15.546113,15.748063
4.65843,15.479527,15.434477,15.506348,15.446936,15.01887,15.063548,15.024687,14.808891,15.456294,15.623716
